filename,datetime,temperature,humidity
RK_gpx _2017-05-27_1631.gpx,2017-05-27 16:31:00,21.9,49.5
RK_gpx _2017-05-28_1722.gpx,2017-05-28 17:22:00,21.4,65
RK_gpx _2017-06-03_1726.gpx,2017-06-03 17:26:00,15.6,61
RK_gpx _2017-06-10_1653.gpx,2017-06-10 16:53:00,16.8,62
RK_gpx _2017-06-11_1650.gpx,2017-06-11 16:50:00,17.7,58
RK_gpx _2017-06-16_1719.gpx,2017-06-16 17:19:00,18.6,54
RK_gpx _2017-06-19_1708.gpx,2017-06-19 17:08:00,17.5,82.5
RK_gpx _2017-06-28_1827.gpx,2017-06-28 18:27:00,19.6,60
RK_gpx _2017-07-03_2055.gpx,2017-07-03 20:55:00,16.2,73
RK_gpx _2017-07-07_1620.gpx,2017-07-07 16:20:00,22.1,47
RK_gpx _2017-07-08_1651.gpx,2017-07-08 16:51:00,22.7,55
RK_gpx _2017-07-13_1747.gpx,2017-07-13 17:47:00,20.2,53.5
RK_gpx _2017-07-15_0856.gpx,2017-07-15 08:56:00,18,53.5
RK_gpx _2017-07-17_1741.gpx,2017-07-17 17:41:00,20.7,67
RK_gpx _2017-07-25_1624.gpx,2017-07-25 16:24:00,22.4,64
RK_gpx _2017-07-27_1646.gpx,2017-07-27 16:46:00,21.7,55
